time,Bitcoin-MarketCap-Log,Residual
2010/08/17,12.534,
2010/08/24,12.491,
2010/08/31,12.509,
2010/09/07,12.405,
2010/09/14,13.458,
2010/09/21,12.451,
2010/09/28,12.421,
2010/10/05,12.432,
2010/10/12,12.908,
2010/10/19,12.974,
2010/10/26,13.636,
2010/11/02,14.022,
2010/11/09,14.305,
2010/11/16,14.074,
2010/11/23,14.083,
2010/11/30,14.098,
2010/12/07,13.994,
2010/12/14,14.003,
2010/12/21,14.103,
2010/12/28,14.225,
2011/01/04,14.231,
2011/01/11,14.398,
2011/01/18,14.381,
2011/01/25,14.648,
2011/02/01,15.308,
2011/02/08,15.427,
2011/02/15,15.556,
2011/02/22,15.469,
2011/03/01,15.48,
2011/03/08,15.423,
2011/03/15,15.438,
2011/03/22,15.4,
2011/03/29,15.396,
2011/04/05,15.292,
2011/04/12,15.592,
2011/04/19,15.783,
2011/04/26,16.28,
2011/05/03,16.898,
2011/05/10,17.078,
2011/05/17,17.78,
2011/05/24,17.658,
2011/05/31,17.912,
2011/06/07,19.146,
2011/06/14,18.856,
2011/06/21,18.419,
2011/06/28,18.6,
2011/07/05,18.529,
2011/07/12,18.445,
2011/07/19,18.383,
2011/07/26,18.433,
2011/08/02,18.33,
2011/08/09,18.135,
2011/08/16,18.196,
2011/08/23,18.219,
2011/08/30,17.982,
2011/09/06,17.82,
2011/09/13,17.589,
2011/09/20,17.644,
2011/09/27,17.494,
2011/10/04,17.439,
2011/10/11,17.266,
2011/10/18,16.804,
2011/10/25,16.892,
2011/11/01,17.076,
2011/11/08,16.983,
2011/11/15,16.935,
2011/11/22,16.692,
2011/11/29,16.836,
2011/12/06,16.956,
2011/12/13,17.066,
2011/12/20,17.299,
2011/12/27,17.325,
2012/01/03,17.593,
2012/01/10,17.871,
2012/01/17,17.851,
2012/01/24,17.783,
2012/01/31,17.648,
2012/02/07,17.698,
2012/02/14,17.523,
2012/02/21,17.447,
2012/02/28,17.54,
2012/03/06,17.579,
2012/03/13,17.657,
2012/03/20,17.622,
2012/03/27,17.553,
2012/04/03,17.584,
2012/04/10,17.574,
2012/04/17,17.636,
2012/04/24,17.638,
2012/05/01,17.612,
2012/05/08,17.638,
2012/05/15,17.642,
2012/05/22,17.661,
2012/05/29,17.669,
2012/06/05,17.73,
2012/06/12,17.755,
2012/06/19,17.937,
2012/06/26,17.929,
2012/07/03,17.963,
2012/07/10,18.041,
2012/07/17,18.306,
2012/07/24,18.242,
2012/07/31,18.297,
2012/08/07,18.499,
2012/08/14,18.627,
2012/08/21,18.439,
2012/08/28,18.516,
2012/09/04,18.464,
2012/09/11,18.52,
2012/09/18,18.599,
2012/09/25,18.629,
2012/10/02,18.684,
2012/10/09,18.629,
2012/10/16,18.621,
2012/10/23,18.612,
2012/10/30,18.538,
2012/11/06,18.54,
2012/11/13,18.569,
2012/11/20,18.63,
2012/11/27,18.685,
2012/12/04,18.772,
2012/12/11,18.785,
2012/12/18,18.769,
2012/12/25,18.771,
2013/01/01,18.774,
2013/01/08,18.811,
2013/01/15,18.846,
2013/01/22,19.026,
2013/01/29,19.119,
2013/02/05,19.251,
2013/02/12,19.397,
2013/02/19,19.59,
2013/02/26,19.612,
2013/03/05,20.062,
2013/03/12,20.049,
2013/03/19,20.16,
2013/03/26,20.515,
2013/04/02,21.145,
2013/04/09,21.445,
2013/04/16,20.438,
2013/04/23,21.252,
2013/04/30,21.196,
2013/05/07,20.961,
2013/05/14,20.998,
2013/05/21,21.039,
2013/05/28,21.098,
2013/06/04,21.04,
2013/06/11,20.922,
2013/06/18,20.922,
2013/06/25,20.878,
2013/07/02,20.663,0.332
2013/07/09,20.613,0.249
2013/07/16,20.84,0.446
2013/07/23,20.793,0.368
2013/07/30,20.91,0.454
2013/08/06,20.929,0.441
2013/08/13,20.868,0.344
2013/08/20,20.898,0.343
2013/08/27,20.984,0.397
2013/09/03,21.139,0.516
2013/09/10,21.095,0.442
2013/09/17,21.123,0.436
2013/09/24,21.101,0.382
2013/10/01,20.931,0.181
2013/10/08,21.122,0.341
2013/10/15,21.243,0.426
2013/10/22,21.589,0.737
2013/10/29,21.609,0.725
2013/11/05,21.851,0.934
2013/11/12,22.138,1.194
2013/11/19,22.69,1.718
2013/11/26,23.172,2.173
2013/12/03,23.257,2.228
2013/12/10,23.096,2.037
2013/12/17,22.669,1.58
2013/12/24,22.806,1.689
2013/12/31,22.933,1.788
2014/01/07,23.035,1.863
2014/01/14,23.035,1.832
2014/01/21,23.026,1.795
2014/01/28,23.016,1.759
2014/02/04,23.025,1.74
2014/02/11,22.835,1.524
2014/02/18,22.78,1.442
2014/02/25,22.709,1.344
2014/03/04,22.839,1.449
2014/03/11,22.786,1.37
2014/03/18,22.755,1.315
2014/03/25,22.719,1.251
2014/04/01,22.447,0.954
2014/04/08,22.46,0.942
2014/04/15,22.591,1.047
2014/04/22,22.545,0.976
2014/04/29,22.45,0.856
2014/05/06,22.462,0.845
2014/05/13,22.466,0.825
2014/05/20,22.469,0.803
2014/05/27,22.72,1.031
2014/06/03,22.864,1.15
2014/06/10,22.846,1.109
2014/06/17,22.778,1.016
2014/06/24,22.717,0.929
2014/07/01,22.861,1.05
2014/07/08,22.817,0.984
2014/07/15,22.811,0.957
2014/07/22,22.818,0.94
2014/07/29,22.738,0.84
2014/08/05,22.766,0.846
2014/08/12,22.701,0.757
2014/08/19,22.556,0.588
2014/08/26,22.612,0.622
2014/09/02,22.556,0.543
2014/09/09,22.547,0.512
2014/09/16,22.507,0.449
2014/09/23,22.472,0.391
2014/09/30,22.33,0.228
2014/10/07,22.255,0.133
2014/10/14,22.386,0.244
2014/10/21,22.365,0.203
2014/10/28,22.253,0.071
2014/11/04,22.251,0.046
2014/11/11,22.482,0.257
2014/11/18,22.346,0.102
2014/11/25,22.339,0.076
2014/12/02,22.356,0.074
2014/12/09,22.319,0.018
2014/12/16,22.279,-0.042
2014/12/23,22.233,-0.105
2014/12/30,22.191,-0.169
2015/01/06,22.056,-0.325
2015/01/13,22.022,-0.378
2015/01/20,21.811,-0.606
2015/01/27,22.052,-0.383
2015/02/03,21.845,-0.61
2015/02/10,21.845,-0.631
2015/02/17,21.903,-0.591
2015/02/24,21.922,-0.592
2015/03/03,22.088,-0.445
2015/03/10,22.131,-0.421
2015/03/17,22.034,-0.535
2015/03/24,21.957,-0.631
2015/03/31,21.968,-0.64
2015/04/07,21.998,-0.628
2015/04/14,21.847,-0.796
2015/04/21,21.93,-0.732
2015/04/28,21.881,-0.798
2015/05/05,21.927,-0.77
2015/05/12,21.958,-0.758
2015/05/19,21.917,-0.816
2015/05/26,21.931,-0.82
2015/06/02,21.893,-0.876
2015/06/09,21.902,-0.885
2015/06/16,21.996,-0.809
2015/06/23,21.96,-0.863
2015/06/30,22.023,-0.817
2015/07/07,22.077,-0.782
2015/07/14,22.155,-0.722
2015/07/21,22.11,-0.785
2015/07/28,22.168,-0.744
2015/08/04,22.126,-0.805
2015/08/11,22.08,-0.869
2015/08/18,22.027,-0.938
2015/08/25,21.895,-1.088
2015/09/01,21.933,-1.068
2015/09/08,21.989,-1.03
2015/09/15,21.936,-1.101
2015/09/22,21.935,-1.119
2015/09/29,21.974,-1.098
2015/10/06,22.005,-1.084
2015/10/13,22.045,-1.061
2015/10/20,22.104,-1.019
2015/10/27,22.194,-0.946
2015/11/03,22.447,-0.711
2015/11/10,22.38,-0.795
2015/11/17,22.331,-0.863
2015/11/24,22.283,-0.929
2015/12/01,22.402,-0.828
2015/12/08,22.506,-0.742
2015/12/15,22.651,-0.617
2015/12/22,22.613,-0.673
2015/12/29,22.591,-0.713
2016/01/05,22.597,-0.725
2016/01/12,22.63,-0.71
2016/01/19,22.467,-0.889
2016/01/26,22.503,-0.871
2016/02/02,22.457,-0.937
2016/02/09,22.457,-0.957
2016/02/16,22.529,-0.902
2016/02/23,22.573,-0.875
2016/03/01,22.609,-0.853
2016/03/08,22.565,-0.914
2016/03/15,22.572,-0.924
2016/03/22,22.575,-0.936
2016/03/29,22.575,-0.953
2016/04/05,22.589,-0.956
2016/04/12,22.606,-0.955
2016/04/19,22.616,-0.962
2016/04/26,22.703,-0.89
2016/05/03,22.668,-0.941
2016/05/10,22.679,-0.948
2016/05/17,22.676,-0.966
2016/05/24,22.66,-0.998
2016/05/31,22.831,-0.842
2016/06/07,22.924,-0.765
2016/06/14,23.095,-0.609
2016/06/21,23.092,-0.629
2016/06/28,23.045,-0.691
2016/07/05,23.075,-0.677
2016/07/12,23.086,-0.682
2016/07/19,23.084,-0.698
2016/07/26,23.058,-0.738
2016/08/02,22.979,-0.833
2016/08/09,22.947,-0.881
2016/08/16,22.933,-0.91
2016/08/23,22.948,-0.911
2016/08/30,22.936,-0.938
2016/09/06,22.999,-0.89
2016/09/13,23,-0.905
2016/09/20,22.99,-0.93
2016/09/27,22.985,-0.951
2016/10/04,22.993,-0.959
2016/10/11,23.046,-0.921
2016/10/18,23.044,-0.937
2016/10/25,23.074,-0.922
2016/11/01,23.153,-0.858
2016/11/08,23.154,-0.872
2016/11/15,23.159,-0.883
2016/11/22,23.206,-0.851
2016/11/29,23.184,-0.889
2016/12/06,23.219,-0.868
2016/12/13,23.249,-0.854
2016/12/20,23.269,-0.848
2016/12/27,23.395,-0.738
2017/01/03,23.533,-0.615
2017/01/10,23.402,-0.761
2017/01/17,23.402,-0.777
2017/01/24,23.386,-0.809
2017/01/31,23.468,-0.743
2017/02/07,23.551,-0.675
2017/02/14,23.519,-0.722
2017/02/21,23.629,-0.626
2017/02/28,23.68,-0.59
2017/03/07,23.721,-0.563
2017/03/14,23.736,-0.563
2017/03/21,23.623,-0.691
2017/03/28,23.555,-0.773
2017/04/04,23.655,-0.688
2017/04/11,23.727,-0.631
2017/04/18,23.75,-0.62
2017/04/25,23.766,-0.619
2017/05/02,23.888,-0.511
2017/05/09,24.059,-0.356
2017/05/16,24.07,-0.359
2017/05/23,24.345,-0.099
2017/05/30,24.34,-0.119
2017/06/06,24.578,0.104
2017/06/13,24.531,0.042
2017/06/20,24.534,0.032
2017/06/27,24.445,-0.071
2017/07/04,24.478,-0.052
2017/07/11,24.386,-0.159
2017/07/18,24.296,-0.263
2017/07/25,24.465,-0.109
2017/08/01,24.541,-0.047
2017/08/08,24.767,0.164
2017/08/15,24.966,0.351
2017/08/22,24.936,0.308
2017/08/29,25.053,0.413
2017/09/05,25.031,0.375
2017/09/12,24.97,0.299
2017/09/19,24.896,0.21
2017/09/26,24.896,0.196
2017/10/03,24.99,0.276
2017/10/10,25.107,0.379
2017/10/17,25.258,0.516
2017/10/24,25.241,0.484
2017/10/31,25.391,0.621
2017/11/07,25.496,0.713
2017/11/14,25.43,0.636
2017/11/21,25.644,0.837
2017/11/28,25.837,1.015
2017/12/05,26.015,1.178
2017/12/12,26.362,1.51
2017/12/19,26.417,1.55
2017/12/26,26.279,1.4
2018/01/02,26.252,1.358
2018/01/09,26.244,1.336
2018/01/16,25.959,1.037
2018/01/23,25.964,1.026
2018/01/30,25.887,0.935
2018/02/06,25.587,0.621
2018/02/13,25.688,0.709
2018/02/20,25.982,0.99
2018/02/27,25.926,0.92
2018/03/06,25.927,0.907
2018/03/13,25.766,0.733
2018/03/20,25.695,0.65
2018/03/27,25.617,0.559
2018/04/03,25.557,0.486
2018/04/10,25.461,0.377
2018/04/17,25.622,0.524
2018/04/24,25.779,0.668
2018/05/01,25.763,0.639
2018/05/08,25.78,0.644
2018/05/15,25.733,0.585
2018/05/22,25.641,0.48
2018/05/29,25.566,0.391
2018/06/05,25.591,0.403
2018/06/12,25.436,0.236
2018/06/19,25.47,0.256
2018/06/26,25.395,0.168
2018/07/03,25.454,0.215
2018/07/10,25.467,0.217
2018/07/17,25.463,0.2
2018/07/24,25.644,0.368
2018/07/31,25.667,0.377
2018/08/07,25.521,0.219
2018/08/14,25.369,0.054
2018/08/21,25.429,0.102
2018/08/28,25.516,0.176
2018/09/04,25.563,0.21
2018/09/11,25.416,0.051
2018/09/18,25.413,0.036
2018/09/25,25.432,0.043
2018/10/02,25.455,0.054
2018/10/09,25.465,0.053
2018/10/16,25.462,0.038
2018/10/23,25.445,0.01
2018/10/30,25.412,-0.035
2018/11/06,25.441,-0.017
2018/11/13,25.43,-0.039
2018/11/20,25.121,-0.359
2018/11/27,24.902,-0.587
2018/12/04,24.957,-0.542
2018/12/11,24.812,-0.696
2018/12/18,24.853,-0.666
2018/12/25,24.906,-0.626
2019/01/01,24.905,-0.639
2019/01/08,24.979,-0.578
2019/01/15,24.884,-0.685
2019/01/22,24.861,-0.718
2019/01/29,24.809,-0.782
2019/02/05,24.817,-0.786
2019/02/12,24.868,-0.747
2019/02/19,24.951,-0.675
2019/02/26,24.923,-0.714
2019/03/05,24.933,-0.716
2019/03/12,24.94,-0.72
2019/03/19,24.974,-0.698
2019/03/26,24.956,-0.727
2019/04/02,25.158,-0.537
2019/04/09,25.243,-0.462
2019/04/16,25.217,-0.5
2019/04/23,25.307,-0.421
2019/04/30,25.252,-0.488
2019/05/07,25.365,-0.386
2019/05/14,25.667,-0.096
2019/05/21,25.678,-0.097
2019/05/28,25.76,-0.026
2019/06/04,25.632,-0.165
2019/06/11,25.647,-0.162
2019/06/18,25.81,-0.01
2019/06/25,26.066,0.234
2019/07/02,25.981,0.137
2019/07/09,26.13,0.273
2019/07/16,25.867,-0.001
2019/07/23,25.916,0.037
2019/07/30,25.875,-0.015
2019/08/06,26.063,0.16
2019/08/13,25.989,0.076
2019/08/20,25.996,0.071
2019/08/27,25.924,-0.011
2019/09/03,25.98,0.033
2019/09/10,25.921,-0.039
2019/09/17,25.935,-0.036
2019/09/24,25.774,-0.208
2019/10/01,25.729,-0.265
2019/10/08,25.726,-0.279
2019/10/15,25.71,-0.306
2019/10/22,25.703,-0.324
2019/10/29,25.861,-0.176
2019/11/05,25.85,-0.197
2019/11/12,25.777,-0.281
2019/11/19,25.711,-0.358
2019/11/26,25.583,-0.496
2019/12/03,25.607,-0.482
2019/12/10,25.598,-0.502
2019/12/17,25.504,-0.607
2019/12/24,25.596,-0.525
2019/12/31,25.592,-0.54
2020/01/07,25.69,-0.454
2020/01/14,25.803,-0.352
2020/01/21,25.792,-0.373
2020/01/28,25.827,-0.35
2020/02/04,25.84,-0.347
2020/02/11,25.956,-0.241
2020/02/18,25.894,-0.313
2020/02/25,25.863,-0.355
2020/03/03,25.793,-0.435
2020/03/10,25.69,-0.55
2020/03/17,25.303,-0.946
2020/03/24,25.529,-0.728
2020/03/31,25.493,-0.774
2020/04/07,25.6,-0.678
2020/04/14,25.562,-0.727
2020/04/21,25.562,-0.738
2020/04/28,25.679,-0.631
2020/05/05,25.828,-0.493
2020/05/12,25.807,-0.524
2020/05/19,25.906,-0.434
2020/05/26,25.813,-0.534
2020/06/02,25.887,-0.471
2020/06/09,25.918,-0.451
2020/06/16,25.886,-0.494
2020/06/23,25.901,-0.489
2020/06/30,25.847,-0.553
2020/07/07,25.86,-0.551
2020/07/14,25.862,-0.56
2020/07/21,25.874,-0.557
2020/07/28,26.029,-0.412
2020/08/04,26.055,-0.396
2020/08/11,26.069,-0.393
2020/08/18,26.123,-0.349
2020/08/25,26.058,-0.424
2020/09/01,26.122,-0.37
2020/09/08,25.953,-0.549
2020/09/15,26.024,-0.489
2020/09/22,25.99,-0.533
2020/09/29,26.014,-0.52
2020/10/06,26,-0.543
2020/10/13,26.078,-0.475
2020/10/20,26.117,-0.446
2020/10/27,26.26,-0.311
2020/11/03,26.279,-0.3
2020/11/10,26.376,-0.213
2020/11/17,26.51,-0.09
2020/11/24,26.603,-0.007
2020/12/01,26.581,-0.039
2020/12/08,26.58,-0.049
2020/12/15,26.616,-0.023
2020/12/22,26.802,0.153
2020/12/29,26.942,0.284
2021/01/05,27.172,0.503
2021/01/12,27.183,0.503
2021/01/19,27.258,0.569
2021/01/26,27.111,0.412
2021/02/02,27.216,0.507
2021/02/09,27.488,0.769
2021/02/16,27.538,0.81
2021/02/23,27.505,0.768
2021/03/02,27.506,0.759
2021/03/09,27.638,0.881
2021/03/16,27.681,0.915
2021/03/23,27.651,0.875
2021/03/30,27.723,0.937
2021/04/06,27.71,0.915
2021/04/13,27.794,0.989
2021/04/20,27.677,0.864
2021/04/27,27.664,0.842
2021/05/04,27.651,0.819
2021/05/11,27.693,0.85
2021/05/18,27.41,0.558
2021/05/25,27.285,0.426
2021/06/01,27.243,0.375
2021/06/08,27.132,0.255
2021/06/15,27.35,0.465
2021/06/22,27.072,0.18
2021/06/29,27.248,0.349
2021/07/06,27.185,0.279
2021/07/13,27.141,0.227
2021/07/20,27.045,0.121
2021/07/27,27.295,0.362
2021/08/03,27.307,0.364
2021/08/10,27.476,0.523
2021/08/17,27.459,0.495
2021/08/24,27.525,0.551
2021/08/31,27.512,0.528
2021/09/07,27.503,0.51
2021/09/14,27.507,0.505
2021/09/21,27.395,0.383
2021/09/28,27.371,0.35
2021/10/05,27.6,0.569
2021/10/12,27.69,0.65
2021/10/19,27.826,0.777
2021/10/26,27.762,0.703
2021/11/02,27.807,0.738
2021/11/09,27.871,0.793
2021/11/16,27.757,0.67
2021/11/23,27.708,0.612
2021/11/30,27.711,0.606
2021/12/07,27.596,0.482
2021/12/14,27.507,0.383
2021/12/21,27.511,0.378
2021/12/28,27.589,0.447
2022/01/04,27.502,0.351
2022/01/11,27.398,0.238
2022/01/18,27.411,0.241
2022/01/25,27.275,0.096
2022/02/01,27.323,0.135
2022/02/08,27.425,0.228
2022/02/15,27.45,0.243
2022/02/22,27.303,0.087
2022/03/01,27.449,0.225
2022/03/08,27.319,0.086
2022/03/15,27.337,0.095
2022/03/22,27.417,0.167
2022/03/29,27.529,0.269
2022/04/05,27.491,0.223
2022/04/12,27.35,0.073
2022/04/19,27.391,0.105
2022/04/26,27.3,0.005
2022/05/03,27.297,-0.007
2022/05/10,27.09,-0.223
2022/05/17,27.08,-0.242
2022/05/24,27.043,-0.287
2022/05/31,27.129,-0.21
2022/06/07,27.115,-0.233
2022/06/14,26.771,-0.586
2022/06/21,26.723,-0.641
2022/06/28,26.687,-0.685
2022/07/05,26.645,-0.737
2022/07/12,26.66,-0.729
2022/07/19,26.836,-0.562
2022/07/26,26.722,-0.684
2022/08/02,26.825,-0.59
2022/08/09,26.812,-0.612
2022/08/16,26.852,-0.581
2022/08/23,26.744,-0.697
2022/08/30,26.669,-0.781
2022/09/06,26.625,-0.834
2022/09/13,26.683,-0.785
2022/09/20,26.617,-0.859
2022/09/27,26.623,-0.862
2022/10/04,26.688,-0.806
2022/10/11,26.622,-0.881
2022/10/18,26.633,-0.879
2022/10/25,26.687,-0.834
2022/11/01,26.696,-0.833
2022/11/08,26.598,-0.94
2022/11/15,26.502,-1.044
2022/11/22,26.461,-1.093
2022/11/29,26.482,-1.08
2022/12/06,26.513,-1.057
2022/12/13,26.557,-1.022
2022/12/20,26.509,-1.078
2022/12/27,26.494,-1.1
2023/01/03,26.495,-1.108
2023/01/10,26.543,-1.069
2023/01/17,26.737,-0.884
2023/01/24,26.803,-0.826
2023/01/31,26.818,-0.82
2023/02/07,26.827,-0.819
2023/02/14,26.779,-0.876
